# Fecha de generación: 2025-12-08T20:20:40+00:00
# Usuario: vboxuser
# Host: Ubuntu

comm	count	cpu_avg	cpu_max	mem_avg	mem_max
gsd-power	2	0	0	.20	0.2
evolution-calen	2	0	0	.20	0.2
at-spi-bus-laun	2	0	0	0	0
kworker/R-md	2	0	0	0	0
kworker/5:0H-kb	2	0	0	0	0
NetworkManager	2	0	0	.10	0.1
oom_reaper	2	0	0	0	0
systemd-timesyn	2	0	0	0	0
gsd-xsettings	2	0	0	.50	0.5
pool_workqueue_	2	0	0	0	0
polkitd	2	0	0	.10	0.1
gdm-wayland-ses	2	0	0	0	0
ksmd	2	0	0	0	0
kworker/u24:21-	2	.70	0.7	0	0
pipewire-pulse	2	0	0	.20	0.2
aggregate.sh	2	5.00	10.0	0	0
crashhelper	2	0	0	0	0
ecryptfs-kthrea	2	0	0	0	0
jbd2/sda2-8	2	0	0	0	0
kworker/R-charg	2	0	0	0	0
gvfsd-trash	2	0	0	.10	0.1
ibus-daemon	2	.10	0.1	.10	0.1
kworker/2:1H-kb	2	0	0	0	0
systemd-udevd	2	0	0	0	0
irq/9-acpi	2	0	0	0	0
cups-browsed	2	0	0	.10	0.1
kworker/R-sync_	2	0	0	0	0
khugepaged	2	0	0	0	0
chrome_crashpad	4	0	0	0	0
kworker/1:1H-kb	2	0	0	0	0
kworker/4:0-eve	2	0	0	0	0
kworker/0:2-eve	2	0	0	0	0
rcu_tasks_trace	2	0	0	0	0
systemd	4	0	0	.10	0.1
kworker/R-kthro	2	0	0	0	0
kworker/R-rcu_g	2	0	0	0	0
ksoftirqd/5	2	0	0	0	0
ksoftirqd/4	2	0	0	0	0
ksoftirqd/3	2	0	0	0	0
ksoftirqd/2	2	0	0	0	0
ksoftirqd/1	2	0	0	0	0
ksoftirqd/0	2	.10	0.1	0	0
rcu_tasks_rude_	2	0	0	0	0
Discord	14	1.15	3.4	1.38	4.3
kauditd	2	0	0	0	0
gvfs-afc-volume	2	0	0	0	0
ibus-x11	2	0	0	.20	0.2
gsd-a11y-settin	2	0	0	0	0
colord	2	0	0	.10	0.1
kworker/3:2	2	0	0	0	0
gsd-screensaver	2	0	0	0	0
fusermount3	2	0	0	0	0
Isolated Servic	2	.20	0.2	1.30	1.3
kworker/R-blkcg	2	0	0	0	0
gvfsd-http	2	0	0	.10	0.1
gvfsd-network	2	0	0	0	0
kswapd0	2	0	0	0	0
kworker/5:0-mm_	1	0	0	0	0
kworker/R-iprt-	2	0	0	0	0
kworker/R-kbloc	2	0	0	0	0
gsd-disk-utilit	2	0	0	0	0
systemd-logind	2	0	0	0	0
rsyslogd	2	0	0	0	0
kcompactd0	2	0	0	0	0
ibus-extension-	2	0	0	.30	0.3
gsd-print-notif	2	0	0	.10	0.1
khungtaskd	2	0	0	0	0
upowerd	2	0	0	.10	0.1
kworker/3:0-eve	2	0	0	0	0
RDD Process	2	0	0	.60	0.6
